z_m,ux_rms_m_s,uy_rms_m_s,uz_rms_m_s,centerline_duz_m_s
2.838541666666667,0.0033854155,0.0044035073,0.017915241,-0.0933038
2.848958333333334,0.0033741563,0.0043892115,0.017841171,-0.092652716
2.8593750000000004,0.0033618715,0.004371485,0.017764857,-0.092023715
2.869791666666667,0.0033486288,0.004350601,0.017686363,-0.09141673
2.880208333333334,0.0033345206,0.0043266835,0.01760595,-0.09083176
2.8906250000000004,0.003319599,0.0042996802,0.017523486,-0.09026919
2.901041666666667,0.0033039155,0.0042696916,0.01743943,-0.08972943
2.911458333333334,0.0032874886,0.0042368905,0.017353674,-0.0892131
2.9218750000000004,0.0032703725,0.0042014318,0.017266504,-0.08872115
2.932291666666667,0.003252617,0.004163454,0.017178101,-0.08825435
2.942708333333334,0.0032342698,0.0041231,0.01708848,-0.08781382
2.9531250000000004,0.0032153816,0.0040805037,0.016998034,-0.08740059
2.963541666666667,0.0031959806,0.0040358477,0.01690671,-0.087015755
2.973958333333334,0.003176031,0.0039892457,0.016814802,-0.08666065
2.9843750000000004,0.0031556347,0.003940887,0.016722439,-0.08633663
2.994791666666667,0.0031347843,0.0038909155,0.01662969,-0.086045116
3.005208333333334,0.0031135175,0.0038394486,0.016536836,-0.08578749
3.0156250000000004,0.0030919034,0.0037866274,0.016443903,-0.08556534
3.026041666666667,0.0030699081,0.0037326291,0.016350958,-0.085380435
3.036458333333334,0.0030475222,0.0036775593,0.016258322,-0.08523494
3.0468750000000004,0.0030248773,0.0036215412,0.016165871,-0.08513054
3.057291666666667,0.0030019775,0.003564733,0.016073847,-0.08506915
3.067708333333334,0.0029787193,0.0035072493,0.015982376,-0.085054286
3.0781250000000004,0.0029552681,0.0034492437,0.015891366,-0.08508817
3.088541666666667,0.00293168,0.0033907832,0.015801102,-0.08517185
3.098958333333334,0.002907817,0.0033320438,0.015711477,-0.0853102
3.1093750000000004,0.002883813,0.0032731136,0.015622632,-0.08550681
3.119791666666667,0.00285976,0.0032141043,0.015534685,-0.085763365
3.130208333333334,0.002835578,0.003155153,0.015447683,-0.0860804
3.1406250000000004,0.0028112999,0.0030963775,0.015361556,-0.08646724
3.151041666666667,0.002786983,0.0030379188,0.0152764665,-0.08692806
3.161458333333334,0.0027626152,0.002979853,0.015192312,-0.08746614
3.1718750000000004,0.0027382795,0.0029222993,0.015109242,-0.08808613
3.182291666666667,0.002713915,0.002865453,0.015027289,-0.08879203
3.192708333333334,0.0026895565,0.002809421,0.014946504,-0.08958761
3.2031250000000004,0.0026652575,0.0027542913,0.014866881,-0.090476006
3.213541666666667,0.0026410169,0.0027001996,0.014788429,-0.0914591
3.223958333333334,0.0026168353,0.0026472951,0.014711217,-0.092536785
3.2343750000000004,0.0025927585,0.0025957497,0.014635203,-0.093706734
3.244791666666667,0.0025687718,0.002545691,0.01456056,-0.094964534
3.255208333333334,0.002544903,0.0024972188,0.014487144,-0.09630268
3.2656250000000004,0.0025212222,0.0024504703,0.014415141,-0.09771078
3.276041666666667,0.002497694,0.0024056013,0.014344367,-0.09917793
3.286458333333334,0.0024743604,0.0023627535,0.014275131,-0.1006908
3.2968750000000004,0.0024512655,0.0023220505,0.014207224,-0.10223293
3.307291666666667,0.002428397,0.0022836134,0.01414079,-0.10378435
3.317708333333334,0.0024058102,0.0022475598,0.014075887,-0.10532427
3.3281250000000004,0.002383555,0.002213992,0.014012415,-0.106825486
3.3385416666666674,0.0023616764,0.002182993,0.013950545,-0.108257465
3.348958333333334,0.002340193,0.0021546585,0.013890246,-0.109591775
3.3593750000000004,0.0023191925,0.002129083,0.013831457,-0.11080771
3.3697916666666674,0.0022987586,0.0021062691,0.013774301,-0.11189832
3.380208333333334,0.00227892,0.0020862222,0.013718771,-0.11284384
3.3906250000000004,0.0022597886,0.0020689713,0.013664848,-0.11362779
3.4010416666666674,0.0022414664,0.00205441,0.013612628,-0.11424337
3.411458333333334,0.0022240267,0.002042632,0.013562047,-0.11467634
3.4218750000000004,0.002207605,0.002033537,0.013513116,-0.11491439
3.4322916666666674,0.0021922858,0.002027009,0.013465895,-0.11495773
3.442708333333334,0.0021782075,0.0020228822,0.0134203145,-0.11481345
3.4531250000000004,0.002165508,0.0020209756,0.013376369,-0.11447814
3.4635416666666674,0.002154248,0.002021297,0.013334066,-0.11396906
3.473958333333334,0.0021446284,0.0020236971,0.013293365,-0.11328994
3.4843750000000004,0.0021367832,0.002027903,0.013254231,-0.11245777
3.4947916666666674,0.0021307443,0.0020336604,0.013216606,-0.11148552
3.505208333333334,0.0021266297,0.0020408256,0.013180453,-0.11038586
3.5156250000000004,0.0021246367,0.002049357,0.013145728,-0.10917476
